,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
150,Lake Havasu City,US,2021-01-10 19:52:09,34.4839,-114.3224,59.0,21,1,14.97
151,Sainte-Suzanne,RE,2021-01-10 19:52:09,-20.9061,55.6089,77.0,78,0,5.75
152,Sacramento,US,2021-01-10 19:51:28,38.4666,-121.3177,53.01,76,75,6.91
153,Guangming,CN,2021-01-10 19:52:09,45.3333,122.7833,2.14,85,1,7.25
154,Half Moon Bay,US,2021-01-10 19:52:09,37.4636,-122.4286,60.01,67,90,4.29
155,Brae,GB,2021-01-10 19:52:09,60.3964,-1.353,39.2,70,90,13.8
156,Juneau,US,2021-01-10 19:49:58,58.3019,-134.4197,42.8,81,90,26.46
157,Bathsheba,BB,2021-01-10 19:52:09,13.2167,-59.5167,84.2,61,20,20.71
158,Abnūb,EG,2021-01-10 19:52:09,27.2696,31.1511,60.8,63,0,10.36
159,Constitución,CL,2021-01-10 19:52:09,-35.3333,-72.4167,64.53,63,0,12.59
160,Geraldton,AU,2021-01-10 19:52:10,-28.7667,114.6,66.2,82,0,13.8
161,Hithadhoo,MV,2021-01-10 19:52:10,-0.6,73.0833,80.98,76,100,13.69
162,Pitiquito,MX,2021-01-10 19:52:10,30.7,-112.0833,63.0,25,0,1.01
163,Mahébourg,MU,2021-01-10 19:52:10,-20.4081,57.7,78.8,94,40,6.91
164,Ngaoundéré,CM,2021-01-10 19:52:10,7.3167,13.5833,67.12,25,1,4.74
165,Amalāpuram,IN,2021-01-10 19:49:01,16.5833,82.0167,67.64,95,97,2.26
166,Kaitangata,NZ,2021-01-10 19:52:10,-46.2817,169.8464,57.0,51,27,8.99
167,Nuuk,GL,2021-01-10 19:52:10,64.1835,-51.7216,32.0,100,75,12.66
168,Chifeng,CN,2021-01-10 19:52:10,42.2683,118.9636,2.39,85,100,6.15
169,Mar del Plata,AR,2021-01-10 19:47:43,-38.0023,-57.5575,75.2,73,75,17.27
170,Turukhansk,RU,2021-01-10 19:52:10,65.8167,87.9833,-22.7,80,0,2.62
171,Ixtapa,MX,2021-01-10 19:52:10,20.7,-105.2,75.2,73,1,8.05
172,Mānsa,IN,2021-01-10 19:49:24,29.9833,75.3833,47.8,53,0,5.08
173,Shingū,JP,2021-01-10 19:52:11,33.7333,135.9833,33.24,86,99,7.47
174,Torbay,CA,2021-01-10 19:52:11,47.6666,-52.7314,33.01,100,90,18.41
175,Tessalit,ML,2021-01-10 19:52:11,20.1986,1.0114,75.36,18,52,8.57
176,Batavia,US,2021-01-10 19:51:43,41.85,-88.3126,28.99,69,90,5.75
177,Nanortalik,GL,2021-01-10 19:52:11,60.1432,-45.2371,32.31,94,100,4.85
178,Aklavik,CA,2021-01-10 19:52:11,68.2191,-135.0107,-4.0,84,75,2.3
